['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 9.0, 63.0, 52.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 9.0, 63.0, 52.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 9.0, 63.0, 52.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 9.0, 63.0, 52.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 9.0, 63.0, 51.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 9.0, 63.0, 51.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 9.0, 63.0, 51.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 9.0, 63.0, 51.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 9.0, 63.0, 51.0, 121.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 9.0, 62.0, 51.0, 120.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 9.0, 62.0, 51.0, 120.0, 0.0, 161.0, -13.0, 30.0, -180.0, 31.0]
