['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 9.0, 64.0, 56.0, 112.0, 23.0, 115.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 9.0, 64.0, 56.0, 112.0, 24.0, 115.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 9.0, 64.0, 56.0, 112.0, 24.0, 115.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -62.0, -180.0, -179.0, -180.0, 9.0, 64.0, 56.0, 112.0, 24.0, 116.0, -8.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -60.0, -180.0, -179.0, -180.0, 10.0, 64.0, 56.0, 111.0, 25.0, 116.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 10.0, 64.0, 56.0, 110.0, 25.0, 117.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 10.0, 64.0, 56.0, 110.0, 25.0, 117.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 10.0, 63.0, 56.0, 109.0, 26.0, 118.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 11.0, 62.0, 56.0, 108.0, 26.0, 122.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 11.0, 62.0, 56.0, 108.0, 26.0, 122.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -62.0, -180.0, -179.0, -180.0, 11.0, 61.0, 56.0, 106.0, 26.0, 123.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 12.0, 59.0, 56.0, 104.0, 26.0, 124.0, -9.0, 33.0, -180.0, 33.0]
[-23.0, 14.0, 0.0, 104.0, -6.0, -53.0, -61.0, -180.0, -179.0, -180.0, 12.0, 58.0, 56.0, 103.0, 26.0, 125.0, -9.0, 33.0, -180.0, 33.0]
