['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 10.0, 70.0, 56.0, 114.0, 28.0, 45.0, -8.0, 32.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 11.0, 69.0, 56.0, 114.0, 27.0, 50.0, -13.0, 32.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 12.0, 68.0, 56.0, 114.0, 26.0, 55.0, -20.0, 32.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 24.0, 69.0, -28.0, 32.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 24.0, 69.0, -35.0, 32.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 24.0, 90.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 24.0, 90.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 24.0, 120.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 24.0, 148.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 68.0, 56.0, 114.0, 26.0, 156.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 67.0, 56.0, 112.0, 28.0, 171.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 67.0, 56.0, 112.0, 29.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 67.0, 56.0, 112.0, 29.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 66.0, 56.0, 112.0, 30.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 13.0, 66.0, 56.0, 112.0, 30.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 66.0, 56.0, 112.0, 32.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 66.0, 56.0, 112.0, 32.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 66.0, 56.0, 112.0, 32.0, 172.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 65.0, 56.0, 112.0, 33.0, 173.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 64.0, 56.0, 112.0, 33.0, 173.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 64.0, 56.0, 112.0, 33.0, 173.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 14.0, 64.0, 56.0, 112.0, 33.0, 174.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 63.0, 56.0, 112.0, 33.0, 176.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 62.0, 56.0, 112.0, 33.0, 176.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 62.0, 56.0, 112.0, 33.0, 176.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 61.0, 56.0, 112.0, 33.0, 176.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 61.0, 56.0, 112.0, 33.0, 176.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 16.0, 60.0, 56.0, 112.0, 33.0, 177.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 17.0, 60.0, 56.0, 111.0, 34.0, 177.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 17.0, 60.0, 56.0, 111.0, 34.0, 177.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 17.0, 58.0, 56.0, 110.0, 36.0, 178.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 18.0, 57.0, 57.0, 109.0, 38.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 18.0, 57.0, 57.0, 109.0, 38.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 19.0, 55.0, 58.0, 109.0, 40.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 19.0, 55.0, 58.0, 109.0, 40.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 21.0, 52.0, 59.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 22.0, 51.0, 60.0, 107.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 22.0, 51.0, 60.0, 107.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 24.0, 48.0, 61.0, 107.0, 42.0, 179.0, -35.0, 32.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 25.0, 45.0, 63.0, 107.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 25.0, 45.0, 63.0, 107.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 27.0, 44.0, 63.0, 107.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 28.0, 42.0, 65.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 30.0, 40.0, 65.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 30.0, 40.0, 65.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 30.0, 40.0, 65.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 30.0, 40.0, 65.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -179.0, 31.0, 39.0, 66.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -179.0, 31.0, 39.0, 66.0, 108.0, 42.0, 179.0, -35.0, 31.0, -180.0, 35.0]
