['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-24.992046, 81.59515, 45.96945, 93.81136, -58.748177, 29.687555, 44.774124]
[-25.005154, 80.71405, 47.06485, 92.43648, -56.66357, 38.862144, 39.49065]
[-24.726732, 78.9787, 47.93012, 90.72599, -54.51687, 50.156, 33.562767]
[-24.412954, 77.22884, 48.45597, 89.00357, -52.370174, 62.010284, 27.515844]
[-24.056763, 75.44246, 48.8133, 87.33257, -50.223473, 75.559586, 21.468925]
[-23.63614, 73.55235, 49.063915, 85.72048, -48.07678, 89.10889, 15.4220085]
[-23.123713, 71.66226, 49.26276, 84.145134, -45.931946, 103.69877, 9.367239]
[-22.361395, 69.81263, 49.449635, 83.02033, -43.904682, 118.53941, 1.776136]
[-21.487648, 68.40494, 49.636517, 82.17908, -42.02816, 133.38, -7.3841014]
[-20.613379, 66.93734, 49.82339, 81.33783, -40.183273, 148.22066, -16.544333]
[-19.662773, 65.18822, 50.010265, 80.49657, -38.33838, 163.04445, -25.704535]
[-18.688696, 63.425766, 50.177258, 79.655304, -36.403023, 168.25827, -33.312286]
[-17.712757, 61.663303, 50.011623, 78.81404, -34.183113, 170.25247, -38.160244]
[-16.736824, 59.900856, 49.770123, 77.97279, -31.96321, 172.22812, -42.481968]
[-15.760885, 58.138397, 49.505527, 77.131546, -29.743298, 173.2875, -46.607674]
[-14.913214, 56.059467, 49.12951, 76.15834, -27.523386, 172.26308, -50.080242]
[-14.142286, 53.49783, 48.699673, 74.63546, -25.303482, 169.82382, -53.48574]
[-13.371358, 50.957882, 48.269844, 73.09798, -23.08357, 167.38458, -56.891247]
[-12.600428, 48.531803, 47.840015, 71.560486, -20.863665, 164.94536, -60.296734]
[-11.8295, 46.16858, 47.410175, 70.277855, -17.332027, 162.50612, -63.702232]
[-11.058574, 43.853577, 46.98035, 69.44537, -11.167683, 160.06688, -67.107735]
[-10.135986, 41.538574, 46.55052, 68.63205, -4.488319, 157.62762, -70.51323]
[-8.84547, 39.223568, 46.12069, 69.01654, 2.4086092, 155.18839, -73.91873]
[-7.5549593, 36.908554, 45.690857, 69.40104, 9.305539, 152.74916, -77.32423]
[-6.264446, 34.593544, 45.280773, 69.785545, 16.175365, 150.30992, -80.72971]
[-4.714956, 32.278534, 44.903946, 70.170044, 22.93635, 147.87068, -84.135216]
[-2.8652122, 29.963533, 44.527115, 70.55453, 28.312733, 145.44313, -89.14088]
[-0.860404, 27.648516, 44.150288, 70.93903, 31.67382, 143.70369, -94.174706]
[1.1443994, 25.333508, 43.773453, 71.323524, 35.027424, 141.96423, -99.20852]
[3.1492016, 23.441912, 43.396626, 71.70802, 38.377197, 140.22481, -104.242325]
[5.154011, 21.984951, 43.0198, 72.092514, 41.726276, 138.48537, -109.27614]
[7.158812, 21.209894, 42.642967, 72.47702, 45.075356, 136.74594, -114.30995]
[9.163614, 20.923046, 42.266136, 72.86151, 48.424423, 135.0065, -119.34377]
[11.168425, 20.636198, 41.889305, 73.24602, 51.7735, 133.26706, -124.377594]
[12.779453, 20.349354, 41.512474, 74.665344, 55.12257, 131.52763, -129.41139]
[14.309993, 20.062506, 41.13565, 77.09684, 58.47164, 129.78821, -134.4452]
[15.702133, 19.77566, 40.758812, 79.52831, 61.820724, 128.04877, -139.38393]
[17.094269, 19.48881, 40.373665, 82.240944, 65.23453, 126.30932, -142.81525]
[18.486406, 19.201962, 39.273922, 84.99545, 68.83433, 124.56988, -146.24655]
[19.878536, 18.915115, 38.08269, 87.75, 72.43413, 122.83045, -149.67787]
[21.258533, 19.29619, 36.891457, 90.504524, 76.03394, 121.09103, -152.81445]
[22.459175, 20.991592, 35.700222, 93.25905, 79.63375, 119.351585, -154.4195]
[23.659819, 23.072842, 34.508995, 97.27238, 83.23356, 117.61216, -155.94017]
[24.860474, 25.186369, 33.317764, 101.799446, 86.83337, 115.87272, -157.46085]
[26.06111, 27.29989, 32.12653, 106.32653, 90.433174, 114.13329, -158.9815]
[27.261763, 29.41341, 30.9353, 110.85359, 94.03298, 112.39385, -160.50217]
[28.462406, 31.526943, 29.744068, 115.380684, 97.6328, 110.65443, -162.02284]
[29.663054, 33.640465, 28.552834, 119.90776, 101.168495, 108.91496, -163.54352]
[30.863697, 35.753983, 27.361609, 124.43483, 104.63732, 107.17554, -165.0642]
[32.06435, 37.86751, 26.170366, 128.96191, 107.73011, 105.43611, -166.58485]
[33.26499, 39.981033, 24.97914, 133.489, 110.691765, 103.69667, -168.10555]
