['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[0.0, 16.0, 43.0, 112.0, 7.0, 10.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 16.0, 43.0, 112.0, 7.0, 10.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 16.0, 43.0, 112.0, 7.0, 10.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 16.0, 43.0, 112.0, 7.0, 9.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[7.0, 30.0, 37.0, 113.0, 16.0, 10.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[11.0, 66.0, 35.0, 157.0, 30.0, 11.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[13.0, 66.0, 36.0, 157.0, 71.0, 12.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[10.0, 53.0, 47.0, 157.0, 90.0, 12.0, 0.0, 38.0, 0.0, 48.0, -1.0, 0.0]
[5.0, 49.0, 50.0, 157.0, 90.0, 11.0, 0.0, 34.0, 0.0, 48.0, -1.0, 0.0]
[4.0, 51.0, 50.0, 157.0, 90.0, 12.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[-5.0, 59.0, 50.0, 157.0, 40.0, 12.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[-3.0, 22.0, 46.0, 101.0, 10.0, 12.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[-3.0, 13.0, 45.0, 100.0, 36.0, 12.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 8.0, 45.0, 101.0, 43.0, 10.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 8.0, 45.0, 101.0, 17.0, 11.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 8.0, 45.0, 101.0, 17.0, 11.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
[0.0, 8.0, 45.0, 101.0, 17.0, 11.0, 0.0, 32.0, 0.0, 48.0, -1.0, 0.0]
