['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-9.0, 12.0, 22.0, 110.0, -24.0, 39.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 22.0, 110.0, -24.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 22.0, 110.0, -24.0, 40.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 22.0, 110.0, -23.0, 39.0, 0.0, 59.0, 0.0, 81.0, -1.0, 0.0]
[-4.0, 24.0, 13.0, 110.0, 56.0, 40.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-3.0, 24.0, 13.0, 122.0, 54.0, 37.0, 0.0, 58.0, 0.0, 82.0, -1.0, 0.0]
[-3.0, 24.0, 13.0, 122.0, 55.0, 38.0, 0.0, 59.0, 0.0, 82.0, -1.0, 0.0]
[-3.0, 24.0, 13.0, 122.0, 56.0, 38.0, 0.0, 59.0, 0.0, 82.0, -1.0, 0.0]
[-5.0, 30.0, 13.0, 119.0, 42.0, 38.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 24.0, 109.0, -16.0, 38.0, 0.0, 59.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 24.0, 109.0, -15.0, 36.0, 0.0, 59.0, 0.0, 81.0, -1.0, 0.0]
