['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-7.0, -1.0, 37.0, 93.0, -1.0, 25.0, 0.0, 46.0, 0.0, 81.0, -1.0, 0.0]
[-7.0, -1.0, 37.0, 93.0, -1.0, 25.0, 0.0, 46.0, 0.0, 81.0, -1.0, 0.0]
[-7.0, -1.0, 37.0, 93.0, -1.0, 25.0, 0.0, 46.0, 0.0, 81.0, -1.0, 0.0]
[-2.0, 11.0, 36.0, 81.0, 41.0, 25.0, 0.0, 46.0, 0.0, 81.0, -1.0, 0.0]
[1.0, -12.0, 37.0, 70.0, 85.0, 25.0, 0.0, 46.0, 0.0, 81.0, -1.0, 0.0]
[1.0, -13.0, 37.0, 78.0, 90.0, 19.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[0.0, -13.0, 37.0, 78.0, 90.0, 19.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[0.0, -13.0, 37.0, 77.0, 86.0, 23.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-2.0, 2.0, 37.0, 76.0, 18.0, 25.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 11.0, 20.0, 108.0, -10.0, 25.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 10.0, 21.0, 108.0, -17.0, 23.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 10.0, 21.0, 108.0, -17.0, 23.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
