['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 0.0, 55.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 94.0, 2.0, 0.0, 0.0, 61.0, 0.0, 55.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 0.0, 55.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 93.0, 2.0, -1.0, 0.0, 61.0, 0.0, 55.0, -1.0, 0.0]
[7.0, 1.0, 25.0, 96.0, -3.0, -3.0, 0.0, 61.0, 0.0, 52.0, -1.0, 0.0]
[18.0, 25.0, 10.0, 126.0, -6.0, -2.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[40.0, 22.0, -12.0, 135.0, -6.0, -2.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[51.0, 13.0, -31.0, 134.0, -2.0, 0.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[48.0, -17.0, -31.0, 121.0, 1.0, 0.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[54.0, -20.0, -31.0, 126.0, 1.0, 0.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[57.0, -20.0, -31.0, 126.0, 1.0, -1.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[56.0, -20.0, -31.0, 126.0, 1.0, 0.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[49.0, -7.0, -31.0, 125.0, 1.0, 0.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[37.0, 8.0, -11.0, 119.0, 1.0, 0.0, 0.0, 61.0, 0.0, 51.0, -1.0, 0.0]
[24.0, 10.0, 11.0, 112.0, 7.0, -1.0, 0.0, 61.0, 0.0, 50.0, -1.0, 0.0]
[12.0, 9.0, 26.0, 106.0, 12.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
[2.0, 10.0, 39.0, 105.0, 7.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
[2.0, 10.0, 39.0, 105.0, 6.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
[2.0, 10.0, 39.0, 105.0, 6.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
[2.0, 10.0, 39.0, 105.0, 6.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
[2.0, 10.0, 39.0, 105.0, 6.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
[2.0, 10.0, 39.0, 105.0, 6.0, -3.0, 0.0, 61.0, 0.0, 47.0, -1.0, 0.0]
