['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[1.0, 15.0, 38.0, 111.0, -6.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 15.0, 38.0, 111.0, -6.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 15.0, 38.0, 111.0, -5.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[5.0, 18.0, 46.0, 111.0, -11.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[13.0, 36.0, 45.0, 111.0, -10.0, 41.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[20.0, 41.0, 44.0, 114.0, 41.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[22.0, 28.0, 49.0, 106.0, 82.0, 44.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[22.0, 21.0, 49.0, 108.0, 89.0, 44.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[22.0, 21.0, 49.0, 108.0, 90.0, 44.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[22.0, 26.0, 47.0, 109.0, 81.0, 45.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[22.0, 38.0, 28.0, 122.0, 13.0, 46.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[14.0, 13.0, 22.0, 106.0, -8.0, 45.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[11.0, 10.0, 22.0, 107.0, -17.0, 42.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[11.0, 10.0, 22.0, 107.0, -17.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
