['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-9.0, 10.0, 50.0, 105.0, 3.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 105.0, 3.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 105.0, 3.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[12.0, 22.0, 50.0, 105.0, 42.0, 48.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[46.0, 25.0, 50.0, 104.0, 72.0, 48.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[46.0, 25.0, 50.0, 115.0, 77.0, 48.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[46.0, 24.0, 50.0, 115.0, 82.0, 43.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[46.0, 24.0, 50.0, 115.0, 81.0, 44.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[36.0, 30.0, 50.0, 114.0, 44.0, 45.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[7.0, 23.0, 33.0, 114.0, -10.0, 44.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[2.0, 18.0, 33.0, 116.0, -11.0, 43.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
