['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-9.0, 10.0, 50.0, 104.0, 6.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 104.0, 6.0, 25.0, 0.0, 59.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 104.0, 6.0, 25.0, 0.0, 59.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 104.0, 7.0, 25.0, 0.0, 59.0, 0.0, 83.0, -1.0, 0.0]
[-8.0, 12.0, 33.0, 104.0, 22.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[0.0, 47.0, 22.0, 141.0, 65.0, 25.0, 0.0, 59.0, 0.0, 83.0, -1.0, 0.0]
[2.0, 66.0, 22.0, 180.0, 90.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[0.0, 67.0, 23.0, 180.0, 75.0, 25.0, 0.0, 59.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 69.0, 50.0, 180.0, 49.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 61.0, 50.0, 180.0, 32.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 67.0, 50.0, 180.0, 0.0, 25.0, 0.0, 57.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 64.0, 50.0, 180.0, 5.0, 25.0, 0.0, 57.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 75.0, 50.0, 180.0, -6.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 79.0, 50.0, 180.0, -13.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 61.0, 50.0, 180.0, 0.0, 25.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 43.0, 50.0, 138.0, -25.0, 23.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 27.0, 50.0, 114.0, -6.0, 23.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 17.0, 50.0, 110.0, 20.0, 24.0, 0.0, 57.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 15.0, 50.0, 110.0, 21.0, 20.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 14.0, 50.0, 110.0, 16.0, 20.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
[-9.0, 14.0, 50.0, 110.0, 16.0, 20.0, 0.0, 58.0, 0.0, 83.0, -1.0, 0.0]
