['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[12.0, 12.0, 22.0, 111.0, -26.0, 26.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[12.0, 12.0, 22.0, 111.0, -26.0, 26.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[12.0, 12.0, 22.0, 111.0, -26.0, 26.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[13.0, 24.0, 33.0, 111.0, -39.0, 26.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[20.0, 33.0, 38.0, 111.0, -10.0, 27.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[35.0, 35.0, 47.0, 111.0, 79.0, 37.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[35.0, 28.0, 49.0, 118.0, 90.0, 39.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[35.0, 27.0, 49.0, 118.0, 90.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[35.0, 30.0, 49.0, 114.0, 90.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[19.0, 34.0, 49.0, 111.0, 21.0, 40.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 22.0, 44.0, 110.0, -4.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 16.0, 38.0, 111.0, -1.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 15.0, 38.0, 111.0, -6.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 15.0, 38.0, 111.0, -6.0, 40.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
