['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-3.0, 8.0, 27.0, 103.0, -9.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-3.0, 8.0, 27.0, 103.0, -9.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-3.0, 8.0, 27.0, 103.0, -9.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[4.0, 13.0, 37.0, 103.0, 21.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[26.0, 5.0, 37.0, 73.0, 68.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[36.0, -10.0, 39.0, 79.0, 88.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[36.0, -10.0, 39.0, 79.0, 89.0, 30.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[24.0, 5.0, 40.0, 82.0, 45.0, 33.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-3.0, 11.0, 39.0, 97.0, -23.0, 33.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 6.0, 38.0, 100.0, -3.0, 33.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
