['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x', 'x', 'y', 'n']
[26.9, 46.8, 29.2, 135.9, 153.3, 143.7, -67.7, 28.1, -180.0, 172.3, 0.3387500047683716, 0.6407407522201538, 46]
[29.2, 51.7, 27.9, 143.9, 155.8, 124.4, -68.6, 37.2, -178.9, 172.8, 0.37708333134651184, 0.6911110877990723, 40]
[35.6, 51.5, 27.7, 143.3, 155.9, 118.6, -68.8, 38.7, -178.8, 172.9, 0.4804166555404663, 0.6911110877990723, 39]
[40.3, 51.8, 28.3, 143.9, 156.5, 125.1, -68.6, 37.2, -178.9, 171.5, 0.5504166483879089, 0.6814814805984497, 40]
[42.7, 51.8, 28.4, 144.0, 156.3, 124.9, -68.6, 37.2, -178.8, 171.5, 0.5795833468437195, 0.6703703999519348, 40]
[47.9, 52.1, 29.0, 145.3, 155.7, 127.0, -68.5, 35.7, -178.9, 171.4, 0.637499988079071, 0.648888885974884, 41]
[51.3, 52.1, 29.1, 145.3, 155.7, 126.8, -68.5, 35.7, -178.9, 171.4, 0.6837499737739563, 0.6251851916313171, 41]
[56.1, 52.1, 29.0, 145.3, 155.7, 127.3, -68.5, 35.7, -178.9, 171.4, 0.75, 0.5814814567565918, 41]
[62.5, 52.4, 29.7, 146.6, 155.3, 128.2, -68.3, 34.2, -179.1, 172.6, 0.8687499761581421, 0.48444443941116333, 42]
[15.4, 51.8, 28.2, 143.9, 156.3, 124.4, -68.6, 37.2, -178.9, 171.5, 0.15833333134651184, 0.6525925993919373, 40]
[19.9, 51.8, 28.3, 143.9, 155.3, 124.4, -68.6, 37.2, -178.9, 171.5, 0.23083333671092987, 0.6807407140731812, 40]
[23.0, 51.8, 28.3, 143.9, 156.3, 124.4, -68.6, 37.2, -178.9, 171.5, 0.2787500023841858, 0.6918518543243408, 40]
[6.7, 42.5, 18.5, 128.0, 163.9, 120.7, -69.3, 36.5, -179.9, 171.4, 0.17624999582767487, 0.5207407474517822, 41]
[2.8, 42.4, 18.0, 127.1, 164.7, 124.4, -69.4, 38.0, -179.9, 171.5, 0.12083332985639572, 0.49481481313705444, 40]
[29.6, 42.5, 18.9, 129.1, 162.1, 124.2, -69.1, 35.0, -179.6, 172.6, 0.492083340883255, 0.5592592358589172, 42]
[33.3, 42.5, 18.9, 129.0, 162.4, 129.7, -69.1, 35.0, -179.9, 172.6, 0.5537499785423279, 0.5392592549324036, 42]
[38.4, 42.5, 18.9, 129.0, 162.5, 124.2, -69.1, 35.0, -179.9, 171.3, 0.6083333492279053, 0.5192592740058899, 42]
[40.5, 42.4, 18.0, 127.2, 164.3, 121.6, -69.4, 38.0, -179.9, 172.8, 0.6812499761581421, 0.47999998927116394, 40]
[46.6, 42.5, 18.9, 129.1, 163.4, 124.2, -69.1, 35.0, -179.9, 172.6, 0.7350000143051147, 0.4651851952075958, 42]
[52.7, 42.6, 19.5, 130.1, 162.6, 127.0, -69.0, 33.5, -179.9, 171.2, 0.79708331823349, 0.4118518531322479, 43]
[55.7, 42.5, 19.1, 129.1, 163.0, 128.7, -69.1, 35.0, -179.6, 171.3, 0.8479166626930237, 0.3651851713657379, 42]
[26.9, 43.1, 18.9, 129.2, 163.6, 130.5, -69.1, 35.0, -179.9, 171.3, 0.4650000035762787, 0.5785185098648071, 42]
[23.8, 42.5, 18.9, 129.0, 162.5, 128.2, -69.1, 35.0, -179.9, 171.3, 0.4204166531562805, 0.5814814567565918, 42]
[18.3, 42.5, 18.5, 128.2, 163.4, 122.4, -69.3, 36.5, -179.9, 172.7, 0.34333333373069763, 0.5770370364189148, 41]
[14.3, 42.5, 18.5, 128.0, 162.9, 123.4, -69.3, 36.5, -179.9, 171.4, 0.2824999988079071, 0.5674074292182922, 41]
[11.1, 42.5, 18.5, 128.0, 162.9, 123.4, -69.3, 36.5, -179.9, 171.4, 0.23666666448116302, 0.5518518686294556, 41]
[23.5, 35.7, 10.1, 117.9, 173.1, 154.4, -67.3, 27.5, -179.6, 170.3, 0.5179166793823242, 0.4637036919593811, 47]
[18.2, 35.4, 10.1, 117.8, 172.6, 156.6, -72.2, 27.5, -178.1, 168.9, 0.445416659116745, 0.4785185158252716, 47]
[12.5, 35.4, 10.1, 117.8, 173.1, 155.5, -72.2, 27.5, -179.6, 168.5, 0.3583333194255829, 0.47777777910232544, 47]
[7.6, 35.4, 9.9, 117.2, 172.7, 153.3, -72.3, 29.0, -179.6, 168.8, 0.29083332419395447, 0.46222221851348877, 46]
[2.2, 35.3, 10.1, 117.8, 173.1, 155.2, -72.2, 27.5, -178.1, 168.5, 0.2016666680574417, 0.4399999976158142, 47]
[-3.4, 35.4, 9.9, 117.2, 172.7, 151.1, -72.3, 29.0, -179.6, 170.4, 0.1354166716337204, 0.40444445610046387, 46]
[-7.9, 35.4, 9.9, 117.2, 172.7, 152.1, -72.3, 29.0, -178.1, 169.0, 0.07333333045244217, 0.3651851713657379, 46]
[28.4, 35.3, 10.0, 117.7, 172.6, 155.5, -72.2, 27.5, -179.6, 168.7, 0.59375, 0.4333333373069763, 47]
[32.5, 35.3, 10.1, 117.8, 172.6, 155.2, -72.2, 27.5, -178.1, 168.7, 0.6458333134651184, 0.40666666626930237, 47]
[38.4, 35.4, 9.9, 117.2, 173.3, 152.9, -72.3, 29.0, -179.6, 168.8, 0.7233333587646484, 0.3525925874710083, 46]
[45.7, 35.2, 10.3, 118.4, 173.0, 155.5, -72.2, 26.0, -178.1, 170.1, 0.8229166865348816, 0.2651851773262024, 48]
[49.4, 35.3, 10.1, 117.8, 172.6, 154.1, -67.3, 27.5, -179.6, 168.7, 0.8608333468437195, 0.22518518567085266, 47]
[56.2, 35.2, 10.3, 118.4, 172.4, 156.6, -72.2, 26.0, -178.1, 168.5, 0.9387500286102295, 0.11703703552484512, 48]
[27.2, 21.4, 13.5, 99.3, 164.3, 161.2, -72.2, 25.6, -178.1, 167.8, 0.5316666960716248, 0.3037036955356598, 47]
[21.0, 21.3, 13.5, 99.3, 165.1, 162.2, -72.2, 25.6, -178.1, 167.9, 0.44624999165534973, 0.3222222328186035, 47]
[14.2, 21.6, 13.2, 99.1, 165.7, 158.8, -72.3, 25.7, -179.6, 167.9, 0.3558333218097687, 0.32148149609565735, 46]
