['r_shoulder_z','r_shoulder_y','r_arm_x','r_elbow_y','r_wrist_z','r_wrist_x','r_thumb_z','r_thumb_x','r_indexfinger_x','r_middlefingers_x']
[29.23,47.43,31.69,139.91,150.99,151.96,-67.03,22.02,-180.00,172.00]
[36.44,54.64,34.86,157.32,149.76,143.25,-67.03,22.02,-178.68,172.00]
[45.58,54.73,35.47,158.29,149.14,138.24,-67.03,22.02,-178.51,172.00]
[50.42,54.73,35.38,157.41,150.64,144.13,-67.03,22.02,-178.68,170.42]
[53.41,54.73,35.47,157.49,150.37,143.87,-67.03,22.02,-178.51,170.42]
[58.42,54.73,35.38,157.41,150.37,144.13,-67.03,22.02,-178.68,170.42]
[62.55,54.73,35.47,157.41,150.37,143.87,-67.03,22.02,-178.68,170.42]
[68.44,54.73,35.38,157.41,150.37,144.48,-67.03,22.02,-178.68,170.42]
[74.42,54.73,35.38,157.41,150.55,143.25,-67.03,22.02,-178.95,172.00]
[19.21,54.73,35.30,157.41,150.37,143.25,-67.03,22.02,-178.68,170.42]
[24.92,54.73,35.38,157.41,149.14,143.25,-67.03,22.02,-178.68,170.42]
[28.70,54.73,35.38,157.41,150.37,143.25,-67.03,22.02,-178.68,170.42]
[8.22,43.03,22.55,136.40,160.40,136.40,-68.00,22.99,-179.91,170.42]
[3.47,43.03,22.55,136.40,160.92,143.25,-68.00,22.99,-179.91,170.42]
[35.21,43.03,22.55,136.57,158.73,138.51,-68.00,22.99,-179.56,172.00]
[39.69,43.03,22.55,136.40,158.99,145.10,-68.00,22.99,-179.91,172.00]
[45.67,43.03,22.55,136.48,159.16,138.51,-68.00,22.99,-179.91,170.42]
[50.59,43.03,22.55,136.48,160.40,139.74,-68.00,22.99,-179.91,172.00]
[55.43,43.03,22.55,136.57,160.22,138.51,-68.00,22.99,-179.91,172.00]
[61.32,43.03,22.64,136.57,159.78,139.74,-68.00,22.99,-179.91,170.42]
[66.33,43.03,22.73,136.57,159.78,143.87,-68.00,22.99,-179.56,170.42]
[32.04,43.65,22.55,136.66,160.48,145.98,-68.00,22.99,-179.91,170.42]
[28.35,43.03,22.55,136.48,159.16,143.25,-68.00,22.99,-179.91,170.42]
[22.37,43.03,22.55,136.57,159.78,138.51,-68.00,22.99,-179.91,172.00]
[17.45,43.03,22.55,136.40,159.16,139.74,-68.00,22.99,-179.91,170.42]
[13.49,43.03,22.55,136.40,159.16,139.74,-68.00,22.99,-179.91,170.42]
[25.01,35.38,10.77,119.69,172.70,161.10,-66.86,22.99,-179.56,169.98]
[19.38,35.12,10.77,119.60,172.09,163.47,-72.04,22.99,-177.98,168.40]
[13.32,35.12,10.77,119.60,172.70,162.33,-72.04,22.99,-179.56,168.04]
[8.31,35.03,10.77,119.60,172.09,162.33,-72.04,22.99,-179.56,168.22]
[2.33,35.03,10.77,119.60,172.70,161.98,-72.04,22.99,-177.98,168.04]
[-3.74,35.03,10.77,119.60,172.09,159.96,-72.04,22.99,-179.56,169.9]
[-8.57,35.03,10.77,119.52,172.09,161.10,-72.04,22.99,-177.98,168.4]
[30.20,35.03,10.68,119.52,172.09,162.33,-72.04,22.99,-179.56,168.2]
[34.59,35.03,10.77,119.60,172.09,161.98,-72.04,22.99,-177.98,168.2]
[41.71,35.03,10.77,119.60,172.70,161.98,-72.04,22.99,-179.56,168.2]
[47.60,35.03,10.77,119.60,172.70,159.96,-72.04,22.99,-177.98,169.9]
[52.53,35.03,10.77,119.60,172.09,160.84,-66.86,22.99,-179.56,168.2]
[58.59,35.03,10.77,119.60,172.09,161.10,-72.04,22.99,-177.98,168.2]
[28.97,20.18,14.37,99.91,163.30,168.31,-72.04,20.97,-177.98,167.25]
[22.29,20.09,14.37,99.91,164.18,169.45,-72.04,20.97,-177.98,167.43]
[15.43,20.00,14.37,99.91,164.44,168.31,-72.04,19.38,-179.56,167.25]
[9.36,20.00,14.37,99.82,164.44,168.31,-72.04,20.97,-179.56,167.25]
[2.33,20.00,14.37,99.91,165.23,167.08,-72.04,19.38,-179.56,167.25]
[-3.74,20.00,14.37,99.82,164.44,169.45,-72.04,19.56,-177.98,167.2]
[-11.74,20.00,14.37,99.82,164.44,167.08,-72.04,20.97,-179.56,167.4]
[34.07,20.00,14.37,99.82,164.44,168.57,-72.04,20.97,-179.56,167.25]
[40.57,20.00,14.37,99.82,164.44,168.31,-72.04,19.38,-179.56,167.43]
[46.46,20.00,14.37,99.82,164.44,167.08,-72.04,20.97,-177.98,167.43]
[54.64,20.00,14.37,99.82,164.44,168.31,-72.04,19.56,-179.56,167.43]
[29.05,7.43,12.09,84.09,168.57,171.82,-72.04,20.00,-177.98,167.2]
[21.32,7.43,12.00,84.09,168.57,171.82,-72.04,20.00,-177.98,167.2]
[14.37,7.43,12.00,84.00,168.57,171.82,-72.04,20.00,-177.98,167.2]
[7.34,7.43,12.00,84.00,168.57,171.82,-67.56,20.00,-177.98,167.43]
[0.40,7.43,12.00,84.00,167.96,171.21,-66.86,20.00,-177.98,167.25]
[-6.64,7.43,12.00,83.91,168.57,171.82,-67.56,20.00,-177.98,167.4]
[33.10,7.43,11.82,83.91,169.98,173.05,-66.86,20.00,-177.98,167.4]
[38.46,7.43,11.82,84.00,169.98,172.44,-72.04,20.00,-177.98,167.2]
